Timestamp, Position (X, Y, Z), Rotation (X, Y, Z)
2025-02-13 21:18:50.311, 10.93, 3.44, -2.34, 0.00, 204.51, 0.00
2025-02-13 21:18:51.313, 7.28, 3.44, -5.48, 0.00, 254.25, 0.00
2025-02-13 21:18:52.315, 2.45, 3.44, -4.68, 0.00, 304.77, 0.00
2025-02-13 21:18:53.317, 0.01, 3.44, -0.50, 0.00, 354.85, 0.00
2025-02-13 21:18:54.322, 1.62, 3.44, 4.04, 0.00, 44.55, 0.00
2025-02-13 21:18:55.324, 6.21, 3.44, 5.74, 0.00, 95.18, 0.00
2025-02-13 21:18:56.330, 10.40, 3.44, 3.33, 0.00, 145.01, 0.00
2025-02-13 21:18:57.331, 11.23, 3.44, -1.49, 0.00, 195.52, 0.00
2025-02-13 21:18:58.333, 8.10, 3.44, -5.20, 0.00, 245.60, 0.00
2025-02-13 21:18:59.335, 3.24, 3.44, -5.15, 0.00, 295.80, 0.00
2025-02-13 21:19:00.338, 0.16, 3.44, -1.39, 0.00, 345.92, 0.00
