Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
1.910324, 0, 3.442, 9.613473, 0, 0, 0, 1
1.917848, 0, 3.442, 9.651625, 0, 0, 0, 1
1.922748, 0, 3.442, 9.689243, 0, 0, 0, 1
1.927982, 0, 3.442, 9.713745, 0, 0, 0, 1
1.936133, 0, 3.442, 9.739914, 0, 0, 0, 1
1.943295, 0, 3.442, 9.780667, 0, 0, 0, 1
1.948184, 0, 3.442, 9.81648, 0, 0, 0, 1
1.95363, 0, 3.442, 9.840925, 0, 0, 0, 1
1.958811, 0, 3.442, 9.868155, 0, 0, 0, 1
1.9632, 0, 3.442, 9.894061, 0, 0, 0, 1
1.968871, 0, 3.442, 9.916006, 0, 0, 0, 1
1.974715, 0, 3.442, 9.944358, 0, 0, 0, 1
1.979482, 0, 3.442, 9.973581, 0, 0, 0, 1
1.98479, 0, 3.442, 9.997416, 0, 0, 0, 1
1.990024, 0, 3.442, 10.02395, 0, 0, 0, 1
2.004845, 0, 3.442, 10.05012, 0, 0, 0, 1
2.011877, 0, 3.442, 10.12423, 0, 0, 0, 1
2.017257, 0, 3.442, 10.15939, 0, 0, 0, 1
2.023538, 0, 3.442, 10.18629, 0, 0, 0, 1
2.028274, 0, 3.442, 10.21769, 0, 0, 0, 1
2.033394, 0, 3.442, 10.24137, 0, 0, 0, 1
2.038757, 0, 3.442, 10.26697, 0, 0, 0, 1
2.043296, 0, 3.442, 10.29379, 0, 0, 0, 1
2.048385, 0, 3.442, 10.31648, 0, 0, 0, 1
2.05365, 0, 3.442, 10.34193, 0, 0, 0, 1
2.058169, 0, 3.442, 10.36825, 0, 0, 0, 1
2.063551, 0, 3.442, 10.39085, 0, 0, 0, 1
2.06853, 0, 3.442, 10.41776, 0, 0, 0, 1
2.07392, 0, 3.442, 10.44265, 0, 0, 0, 1
2.080859, 0, 3.442, 10.46961, 0, 0, 0, 1
2.088628, 0, 3.442, 10.5043, 0, 0, 0, 1
2.095463, 0, 3.442, 10.54314, 0, 0, 0, 1
2.102093, 0, 3.442, 10.57732, 0, 0, 0, 1
2.107249, 0, 3.442, 10.61047, 0, 0, 0, 1
2.11412, 0, 3.442, 10.63625, 0, 0, 0, 1
2.119579, 0, 3.442, 10.6706, 0, 0, 0, 1
2.124846, 0, 3.442, 10.6979, 0, 0, 0, 1
2.129993, 0, 3.442, 10.72423, 0, 0, 0, 1
2.135393, 0, 3.442, 10.74997, 0, 0, 0, 1
2.140531, 0, 3.442, 10.77697, 0, 0, 0, 1
2.155435, 0, 3.442, 10.80266, 0, 0, 0, 1
2.162612, 0, 3.442, 10.87718, 0, 0, 0, 1
2.167703, 0, 3.442, 10.91307, 0, 0, 0, 1
2.173362, 0, 3.442, 10.93852, 0, 0, 0, 1
2.177661, 0, 3.442, 10.96681, 0, 0, 0, 1
2.183032, 0, 3.442, 10.98831, 0, 0, 0, 1
2.187786, 0, 3.442, 11.01516, 0, 0, 0, 1
2.192949, 0, 3.442, 11.03893, 0, 0, 0, 1
2.198064, 0, 3.442, 11.06475, 0, 0, 0, 1
2.203177, 0, 3.442, 11.09032, 0, 0, 0, 1
2.208291, 0, 3.442, 11.11589, 0, 0, 0, 1
2.213282, 0, 3.442, 11.14146, 0, 0, 0, 1
2.218149, 0, 3.442, 11.16641, 0, 0, 0, 1
2.224645, 0, 3.442, 11.19075, 0, 0, 0, 1
2.229488, 0, 3.442, 11.22323, 0, 0, 0, 1
2.233999, 0, 3.442, 11.24744, 0, 0, 0, 1
2.239134, 0, 3.442, 11.27, 0, 0, 0, 1
2.243833, 0, 3.442, 11.29567, 0, 0, 0, 1
2.249374, 0, 3.442, 11.31917, 0, 0, 0, 1
2.254583, 0, 3.442, 11.34687, 0, 0, 0, 1
2.259674, 0, 3.442, 11.37292, 0, 0, 0, 1
2.265126, 0, 3.442, 11.39837, 0, 0, 0, 1
2.270231, 0, 3.442, 11.42563, 0, 0, 0, 1
2.275165, 0, 3.442, 11.45116, 0, 0, 0, 1
2.281825, 0, 3.442, 11.47583, 0, 0, 0, 1
2.288357, 0, 3.442, 11.50913, 0, 0, 0, 1
2.296169, 0, 3.442, 11.54179, 0, 0, 0, 1
2.314034, 0, 3.442, 11.58085, 0, 0, 0, 1
2.322499, 0, 3.442, 11.67018, 0, 0, 0, 1
2.328846, 0, 3.442, 11.7125, 0, 0, 0, 1
2.334963, 0, 3.442, 11.74424, 0, 0, 0, 1
2.340309, 0, 3.442, 11.77482, 0, 0, 0, 1
2.349206, 0, 3.442, 11.80155, 0, 0, 0, 1
2.355637, 0, 3.442, 11.84603, 0, 0, 0, 1
2.36229, 0, 3.442, 11.87819, 0, 0, 0, 1
